ENGLISH,PROPERTY DATA NAME,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,CC_ID,ESRI_OID,Shape__Area,Shape__Length
DUBLIN CITY COUNCIL,Dublin City,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1433-13a3-e055-000000000001,716469.75,735272.06,128350164.4,265011,1,128350164.4,101493.2124
CORK CITY COUNCIL,Cork City,,Corcaigh,CORK,Munster,2ae19629-1434-13a3-e055-000000000001,565833.13,571933.83,186597605.5,45511,2,186597605.5,80293.73078
GALWAY CITY COUNCIL,Galway City,,Gaillimh,GALWAY,Connacht,2ae19629-1435-13a3-e055-000000000001,530067.66,726500.52,50695047.2,65011,3,50695047.2,64020.72563
OFFALY COUNTY COUNCIL,Offaly,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-1496-13a3-e055-000000000001,631261.72,709672.35,2000024664,185001,4,2000024664,389927.7086
WICKLOW COUNTY COUNCIL,Wicklow,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-149e-13a3-e055-000000000001,707784.79,690738.1,2025160942,255001,5,2025160942,320629.9587
TIPPERARY COUNTY COUNCIL,Tipperary,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-1499-13a3-e055-000000000001,605191.54,659297.87,4303395909,215003,6,4303395909,517791.4005
MONAGHAN COUNTY COUNCIL,Monaghan,,Muineachán,MONAGHAN,Ulster,2ae19629-1495-13a3-e055-000000000001,669110.41,824170.57,1294164121,175001,7,1294164121,300981.9577
SLIGO COUNTY COUNCIL,Sligo,,Sligeach,SLIGO,Connacht,2ae19629-1498-13a3-e055-000000000001,557897.46,827219.69,1836083206,205001,8,1836083206,519667.1751
WEXFORD COUNTY COUNCIL,Wexford,,Loch Garman,WEXFORD,Leinster,2ae19629-149c-13a3-e055-000000000001,696261.93,634655.15,2369842343,245001,9,2369842343,428271.2293
SOUTH DUBLIN COUNTY COUNCIL,South Dublin,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a1-13a3-e055-000000000001,706125.25,725999.51,223448221.6,265003,10,223448221.6,93355.94642
FINGAL COUNTY COUNCIL,Fingal,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a0-13a3-e055-000000000001,717228.52,750698.66,457879166.2,265002,11,457879166.2,247881.7197
CLARE COUNTY COUNCIL,Clare,,An Clár,CLARE,Munster,2ae19629-14a2-13a3-e055-000000000001,524790.2,680078.02,3443369713,35001,12,3443369713,533013.3946
DONEGAL COUNTY COUNCIL,Donegal,,Dún na nGall,DONEGAL,Ulster,2ae19629-14a4-13a3-e055-000000000001,607296.31,911848.45,4856716774,55001,13,4856716774,1860130.463
MEATH COUNTY COUNCIL,Meath,,An Mhí,MEATH,Leinster,2ae19629-1494-13a3-e055-000000000001,680723.14,767236.28,2342048769,165001,14,2342048769,396538.4026
WESTMEATH COUNTY COUNCIL,Westmeath,,An Iarmhí,WESTMEATH,Leinster,2ae19629-149b-13a3-e055-000000000001,635445.42,756679.97,1838309833,235001,15,1838309833,291659.802
MAYO COUNTY COUNCIL,Mayo,,Maigh Eo,MAYO,Connacht,2ae19629-1493-13a3-e055-000000000001,504948.11,797843.38,5587525209,155001,16,5587525209,1637391.112
LIMERICK CITY AND COUNTY COUNCIL,Limerick City,,Luimneach,LIMERICK,Munster,2ae19629-148f-13a3-e055-000000000001,548318.75,640943.05,2754925825,125002,17,2754925824,389798.6792
KILDARE COUNTY COUNCIL,Kildare,,Cill Dara,KILDARE,Leinster,2ae19629-14a7-13a3-e055-000000000001,678993.6,712090.4,1694083233,85001,18,1694083233,297048.4974
KERRY COUNTY COUNCIL,Kerry,,Ciarraí,KERRY,Munster,2ae19629-14a6-13a3-e055-000000000001,469696.21,600519.77,4812983980,75001,19,4812983980,1520313.7
LOUTH COUNTY COUNCIL,Louth,,Lú,LOUTH,Leinster,2ae19629-1491-13a3-e055-000000000001,705050.25,796446.74,826104640.7,145001,20,826104640.9,255564.8432
LONGFORD COUNTY COUNCIL,Longford,,An Longfort,LONGFORD,Leinster,2ae19629-1490-13a3-e055-000000000001,619420.92,775835.13,1091077828,135001,21,1091077828,213044.8326
DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,Dún Laoghaire-Rathdown,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-149f-13a3-e055-000000000001,720713.95,724471.41,126563026.7,265001,22,126563026.7,70787.28855
GALWAY COUNTY COUNCIL,Galway County,,Gaillimh,GALWAY,Connacht,2ae19629-14a5-13a3-e055-000000000001,524511.96,732839.34,6100395515,65001,23,6100395515,2129224.075
CARLOW COUNTY COUNCIL,Carlow,,Ceatharlach,CARLOW,Leinster,2ae19629-1492-13a3-e055-000000000001,680448.23,660624.58,896306186,15001,24,896306186,224523.9734
CORK COUNTY COUNCIL,Cork County,,Corcaigh,CORK,Munster,2ae19629-14a3-13a3-e055-000000000001,527532.69,573117.78,7316037890,45501,25,7316037890,2042835.696
LEITRIM COUNTY COUNCIL,Leitrim,,Liatroim,LEITRIM,Connacht,2ae19629-148e-13a3-e055-000000000001,599762.02,821266.52,1588030183,115001,26,1588030183,321776.1108
KILKENNY COUNTY COUNCIL,Kilkenny,,Cill Chainnigh,KILKENNY,Leinster,2ae19629-14a8-13a3-e055-000000000001,647885.56,646646.11,2071100205,95001,27,2071100205,286687.4985
LAOIS COUNTY COUNCIL,Laois,,Laois,LAOIS,Leinster,2ae19629-148d-13a3-e055-000000000001,644908.26,694308.36,1719127150,105001,28,1719127150,276737.9588
ROSCOMMON COUNTY COUNCIL,Roscommon,,Ros Comáin,ROSCOMMON,Connacht,2ae19629-1497-13a3-e055-000000000001,576872.92,772072.39,2547136217,195001,29,2547136217,430531.8866
CAVAN COUNTY COUNCIL,Cavan,,An Cabhán,CAVAN,Ulster,2ae19629-149d-13a3-e055-000000000001,638764.82,809776.33,1931224564,25001,30,1931224564,376645.2226
WATERFORD CITY AND COUNTY COUNCIL,Waterford City,,Port Láirge,WATERFORD,Munster,2ae19629-149a-13a3-e055-000000000001,630336.8,599955.37,1857031672,225002,31,1857031672,456287.8972
